company,tier,job_count,avg_salary,median_salary,avg_experience,disclosed_salary_count,top_skills,salary_data_note
Unknown,Startup/Other,231,15.06,15.14,6.6,33,"SQL, Python, Spark, Machine Learning, SAS",disclosed
Accenture,Consulting,226,15.82,16.04,6.0,0,"Python, SQL, Spark, ETL, Machine Learning",estimated_only
IBM,MNC/IT Services,115,14.71,14.08,6.8,0,"Python, SQL, Spark, Java, ETL",estimated_only
Huquo Consulting Pvt. Ltd,Startup/Other,96,14.78,15.42,5.9,0,"Spark, ETL, SQL, Python, Java",estimated_only
Visa,Startup/Other,64,15.61,15.04,7.0,0,"Java, Spark, Python, SQL, Agile",estimated_only
Gojek,Startup/Other,57,17.62,16.86,7.3,0,"Machine Learning, SQL, Agile, NoSQL, GCP",estimated_only
Walmart,Product,54,20.35,20.0,6.5,0,"Machine Learning, Spark, Python, Agile, Java",estimated_only
Serving Skill,Startup/Other,51,16.03,16.31,6.4,0,"SQL, Spark, Azure, Python, Java",estimated_only
CHANGE LEADERS CONSULTING,Startup/Other,47,14.54,14.54,5.5,0,"SQL, Python, Spark, Machine Learning, Statistics",estimated_only
TalentStack,Startup/Other,42,13.64,10.9,5.6,0,"Python, SQL, Java, R, Tableau",estimated_only
Shell,Startup/Other,41,17.44,17.0,7.7,0,"Azure, Power BI, Spark, R, SQL",estimated_only
Uber,Product,40,16.9,13.74,5.5,0,"Machine Learning, Scala, SQL, Data Modeling, Agile",estimated_only
Microsoft,Product,40,22.79,21.84,7.7,0,"Machine Learning, Python, Spark, C++, Azure",estimated_only
Genpact,Startup/Other,33,18.11,16.77,7.1,0,"AWS, SQL, Python, ETL, Spark",estimated_only
Flipkart,Product,31,14.34,13.39,4.7,0,"SQL, Python, SAS, Excel, Machine Learning",estimated_only
Multi Recruit,Startup/Other,31,16.47,16.29,7.5,0,"Machine Learning, Spark, Python, Agile, SQL",estimated_only
Krazy Mantra HR Solutions Pvt. Ltd,Startup/Other,31,19.42,18.42,8.0,0,"Python, Spark, ETL, SQL, AWS",estimated_only
Career Infosystem,MNC/IT Services,29,15.31,15.33,6.5,0,"Spark, Python, SQL, Java, AWS",estimated_only
Orcapod Consulting Services Private Limited,Startup/Other,28,19.04,17.81,8.1,0,"SQL, Python, Spark, AWS, ETL",estimated_only
Myntra,Product,23,11.12,9.11,3.2,0,"Excel, Python, Data Visualization, SQL, Communication",estimated_only
TALENT500 TECH (INDIA) PRIVATE LIMITED,Startup/Other,23,15.41,14.26,6.3,0,"Java, Python, SQL, Spark, Machine Learning",estimated_only
PwC,Consulting,22,19.51,19.6,8.0,0,"SQL, Spark, GCP, AWS, Azure",estimated_only
NTT DATA,Startup/Other,22,12.84,11.17,5.1,0,"Azure, SQL, Spark, Python, NoSQL",estimated_only
PayPal,Startup/Other,21,14.85,15.73,6.0,0,"Machine Learning, Git, ETL, Agile, Data Modeling",estimated_only
Diverse Lynx,Startup/Other,21,10.97,11.03,4.5,0,"SQL, Spark, Python, Machine Learning, R",estimated_only
Applied Materials,Startup/Other,21,16.89,16.76,6.5,0,"R, Tableau, SQL, Machine Learning, Statistics",estimated_only
Dell Technologies,Startup/Other,21,19.41,17.36,8.0,0,"SQL, Spark, Java, Python, Kafka",estimated_only
VEGA Intellisoft Private Limited,Startup/Other,21,15.5,15.52,6.6,0,"Python, Spark, SQL, Azure, ETL",estimated_only
Anicalls,Startup/Other,20,16.23,16.24,7.3,0,"Python, Spark, SQL, Tableau, ETL",estimated_only
Thomson Reuters,Startup/Other,19,10.31,10.87,3.5,0,"Machine Learning, Agile, Data Modeling, SQL, NoSQL",estimated_only
CareerXperts Consulting,Startup/Other,19,16.08,16.33,6.7,0,"Machine Learning, Spark, SQL, Agile, Git",estimated_only
PayU,Startup/Other,18,11.71,11.04,4.5,0,"Machine Learning, Agile, SQL, Python, SAS",estimated_only
Bloom Consulting Services,Startup/Other,18,12.82,11.23,4.9,0,"SQL, Data Modeling, Machine Learning, Spark, Data Visualization",estimated_only
Xpheno,Startup/Other,18,17.38,16.44,7.1,0,"SQL, Spark, GCP, Machine Learning, Excel",estimated_only
Dell International Services IndiaPrivate Limited,Startup/Other,18,17.66,16.36,6.9,0,"Spark, SQL, Python, Java, Power BI",estimated_only
DXC Technology,Startup/Other,18,17.12,17.2,7.2,0,"Azure, SQL, Data Modeling, Databricks, Spark",estimated_only
Capco,Startup/Other,18,16.6,15.1,6.9,0,"SQL, Agile, Spark, Scala, Python",estimated_only
Cargill,Startup/Other,17,14.87,11.06,6.1,0,"Spark, Agile, Power BI, Data Modeling, Data Visualization",estimated_only
