job_title,job_description,location,experience_text,source,company,salary_text,salary_lpa,salary_source,exp_min,exp_max,exp_mid,exp_band,tier,text_for_nlp,skills_extracted,skill_count,salary_disclosed
JUNIOR BIG DATA ANALYST IN,,Bengaluru,1 - 3 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,8.04,estimated,1,3,2.0,1-3 yrs (Junior),Startup/Other,junior big data analyst in ,['Spark'],1,
Data Science Engineer,unix| data science| sql| linux| sas| html| perl| sdlc| android| python,Bengaluru,5 - 10 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,15.58,estimated,5,10,7.5,5-8 yrs (Senior),Startup/Other,data science engineer unix| data science| sql| linux| sas| html| perl| sdlc| android| python,"['SAS', 'SQL', 'Python']",3,
Manager - Analytics - Retail/ Ecommerce/ Telecom/ BFSI Domain,machine learning| analytics| data visualization| sql| statistics| statistical modeling| r| solution design| e| sales| proposals| strategic planning| project management,Bengaluru,6 - 8 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,17.33,estimated,6,8,7.0,5-8 yrs (Senior),Startup/Other,manager - analytics - retail/ ecommerce/ telecom/ bfsi domain machine learning| analytics| data visualization| sql| statistics| statistical modeling| r| solution design| e| sales| proposals| strategic planning| project management,"['Data Visualization', 'Machine Learning', 'Statistics', 'R', 'SQL']",5,
Sr. Data Engineer Human Resources,unix| maven| automation| linux| data modeling| infrastructure management| agile| application development| apache| information technology,Bengaluru,3 - 5 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,11.47,estimated,3,5,4.0,3-5 yrs (Mid),Startup/Other,sr. data engineer human resources unix| maven| automation| linux| data modeling| infrastructure management| agile| application development| apache| information technology,"['Data Modeling', 'Agile']",2,
Microstrategy Developer - Decision Support/business Intelligence,microstrategy| unix| business intelligence| linux| data visualization| business objects| data modeling| etl| analytics| db,Bengaluru,4 - 7 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,15.37,estimated,4,7,5.5,5-8 yrs (Senior),Startup/Other,microstrategy developer - decision support/business intelligence microstrategy| unix| business intelligence| linux| data visualization| business objects| data modeling| etl| analytics| db,"['Data Modeling', 'ETL', 'Data Visualization']",3,
"Senior Engineer, Big Data &amp; Security",development| junit| java| apache| jboss| tomcat| product development| mysql| eclipse,Bengaluru,3 - 5 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,11.1,estimated,3,5,4.0,3-5 yrs (Mid),Startup/Other,"senior engineer, big data &amp; security development| junit| java| apache| jboss| tomcat| product development| mysql| eclipse","['SQL', 'Spark']",2,
Lead Data Scientist,python| machine learning| forecasting| text mining| neural networks| natural language processing| text analytics| logistic regression| advanced analytics| deep learning,Bengaluru,7 - 10 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,28.68,estimated,7,10,8.5,8+ yrs (Lead),Startup/Other,lead data scientist python| machine learning| forecasting| text mining| neural networks| natural language processing| text analytics| logistic regression| advanced analytics| deep learning,"['Machine Learning', 'NLP', 'Python', 'Statistics']",4,
Business Analyst,functional testing| end user| software development| scrum| business analysis| agile| user acceptance| sql,Bengaluru,8 - 12 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,24.3,estimated,8,12,10.0,8+ yrs (Lead),Startup/Other,business analyst functional testing| end user| software development| scrum| business analysis| agile| user acceptance| sql,"['SQL', 'Agile']",2,
Senior Business Intelligence Analyst,qlikview| data visualization| tableau| ms sql server| business analysis| business intelligence| data warehousing| power bi| data modeling| alteryx,Bengaluru,4 - 8 yrs,naukri_30k,Unknown," 6,00,000 - 14,00,000 PA. ",10.0,disclosed,4,8,6.0,5-8 yrs (Senior),Startup/Other,senior business intelligence analyst qlikview| data visualization| tableau| ms sql server| business analysis| business intelligence| data warehousing| power bi| data modeling| alteryx,"['Data Visualization', 'Data Modeling', 'Tableau', 'SQL', 'Power BI']",5,10.0
Senior Data Scientist,python| business intelligence| coding| computer science| machine learning| hbase| mongodb| nosql| cassandra| operations,Bengaluru,5 - 6 yrs,naukri_30k,Unknown, Not Disclosed by Recruiter ,16.09,estimated,5,6,5.5,5-8 yrs (Senior),Startup/Other,senior data scientist python| business intelligence| coding| computer science| machine learning| hbase| mongodb| nosql| cassandra| operations,"['Machine Learning', 'NoSQL', 'MongoDB', 'SQL', 'Python']",5,
