skill,count,pct_of_jobs,avg_salary,avg_salary_disclosed,median_salary,salary_sample_size,avg_experience,category
SQL,1701,31.8,15.46,13.22,11.5,9,6.2,Database
Python,1662,31.1,15.71,15.94,13.5,9,6.2,Programming
Spark,1419,26.5,16.93,17.73,15.0,11,6.6,Data Engineering
Machine Learning,996,18.6,16.36,16.11,16.0,9,6.4,ML/AI
Java,623,11.7,16.5,,,0,6.8,Programming
AWS,617,11.5,16.51,,,0,6.6,Cloud
Azure,534,10.0,17.26,,,0,7.1,Cloud
ETL,520,9.7,16.12,14.5,14.5,2,6.5,Data Engineering
Agile,479,9.0,15.49,11.12,11.12,2,6.6,Soft Skills
Scala,362,6.8,16.56,7.75,7.75,2,6.5,Programming
Communication,333,6.2,13.84,11.0,11.0,1,5.7,Soft Skills
Data Modeling,325,6.1,15.73,16.0,18.0,3,6.5,Analytics
Tableau,323,6.0,14.71,10.0,10.0,1,5.9,BI Tools
NoSQL,317,5.9,16.41,10.0,10.0,1,6.7,Database
Excel,288,5.4,11.53,10.67,9.0,3,4.5,BI Tools
R,279,5.2,15.48,15.5,16.0,5,6.1,Programming
Statistics,260,4.9,14.41,21.75,18.0,4,5.5,Analytics
Power BI,245,4.6,14.6,10.0,10.0,1,5.8,BI Tools
GCP,237,4.4,16.22,,,0,6.6,Cloud
Git,225,4.2,14.76,,,0,6.1,DevOps
Data Visualization,205,3.8,14.01,14.83,16.5,3,5.7,BI Tools
SAS,183,3.4,14.44,16.0,16.25,4,6.0,Programming
Kafka,170,3.2,17.06,,,0,6.6,Data Engineering
NLP,145,2.7,16.59,18.2,16.5,5,6.4,ML/AI
APIs,127,2.4,14.93,,,0,6.3,DevOps
Databricks,113,2.1,18.4,,,0,7.2,Cloud
Airflow,109,2.0,16.3,,,0,6.3,Data Engineering
C++,107,2.0,15.6,13.5,13.5,2,6.5,Programming
MongoDB,84,1.6,15.4,,,0,6.5,Database
Docker,73,1.4,16.25,,,0,6.3,DevOps
TensorFlow,67,1.3,16.55,,,0,6.5,ML/AI
Snowflake,60,1.1,18.41,,,0,7.1,Cloud
Pandas,48,0.9,15.02,,,0,5.9,Programming
NumPy,40,0.7,15.36,,,0,6.0,Programming
MATLAB,32,0.6,14.78,,,0,6.4,Programming
Plotly,32,0.6,10.81,5.0,5.0,1,4.2,BI Tools
A/B Testing,8,0.1,10.58,,,0,3.4,Analytics
Scikit-learn,8,0.1,14.22,,,0,5.1,ML/AI
Looker,6,0.1,14.95,,,0,6.1,BI Tools
dbt,3,0.1,21.69,,,0,7.2,Data Engineering
Google Sheets,2,0.0,12.32,,,0,6.0,BI Tools
