skill_pair,co_occurrences,avg_salary,salary_source
Python + Statistics,3,23.67,disclosed_only
Databricks + Power BI,7,22.75,all_including_estimated
Machine Learning + Statistics,3,22.33,disclosed_only
Data Modeling + Databricks,5,21.54,all_including_estimated
NLP + SAS,8,21.51,all_including_estimated
Git + SAS,9,20.99,all_including_estimated
Azure + NLP,9,20.59,all_including_estimated
Data Modeling + Kafka,7,20.41,all_including_estimated
Airflow + Snowflake,7,20.25,all_including_estimated
R + Scala,10,20.14,all_including_estimated
Databricks + Snowflake,5,20.07,all_including_estimated
GCP + Kafka,6,19.83,all_including_estimated
NLP + Spark,30,19.81,all_including_estimated
Docker + Java,13,19.74,all_including_estimated
Java + Snowflake,11,19.68,all_including_estimated
NLP + R,21,19.64,all_including_estimated
Azure + Excel,6,19.35,all_including_estimated
ETL + MongoDB,5,19.31,all_including_estimated
Spark + TensorFlow,16,19.21,all_including_estimated
ETL + NLP,9,19.14,all_including_estimated
Databricks + ETL,27,19.12,all_including_estimated
Azure + Statistics,5,19.11,all_including_estimated
Agile + MongoDB,9,19.07,all_including_estimated
Python + Snowflake,29,19.03,all_including_estimated
Azure + Tableau,19,18.99,all_including_estimated
Snowflake + Spark,21,18.99,all_including_estimated
APIs + Kafka,11,18.91,all_including_estimated
Airflow + Databricks,7,18.85,all_including_estimated
AWS + Data Modeling,29,18.84,all_including_estimated
Git + Tableau,6,18.81,all_including_estimated
Docker + ETL,6,18.76,all_including_estimated
Azure + Data Visualization,6,18.7,all_including_estimated
Azure + Databricks,97,18.7,all_including_estimated
NoSQL + Statistics,6,18.64,all_including_estimated
Databricks + Java,11,18.61,all_including_estimated
SQL + TensorFlow,8,18.54,all_including_estimated
Git + Statistics,11,18.53,all_including_estimated
Databricks + Spark,59,18.51,all_including_estimated
Machine Learning + Python,4,18.5,disclosed_only
Azure + Machine Learning,53,18.4,all_including_estimated
Azure + Java,70,18.39,all_including_estimated
Data Modeling + Snowflake,9,18.39,all_including_estimated
Docker + GCP,10,18.36,all_including_estimated
GCP + MongoDB,5,18.35,all_including_estimated
SQL + Snowflake,35,18.33,all_including_estimated
Azure + Snowflake,17,18.32,all_including_estimated
Azure + GCP,34,18.29,all_including_estimated
ETL + Scala,35,18.2,all_including_estimated
Agile + GCP,24,18.2,all_including_estimated
Machine Learning + Spark,193,18.13,all_including_estimated
APIs + Scala,8,18.08,all_including_estimated
GCP + Java,36,18.08,all_including_estimated
Azure + Data Modeling,28,18.07,all_including_estimated
Java + NLP,12,18.0,all_including_estimated
AWS + Snowflake,30,18.0,all_including_estimated
Azure + Power BI,32,17.99,all_including_estimated
AWS + GCP,34,17.94,all_including_estimated
R + Spark,63,17.93,all_including_estimated
Databricks + SQL,51,17.92,all_including_estimated
C++ + Spark,14,17.91,all_including_estimated
GCP + NLP,7,17.89,all_including_estimated
Kafka + Scala,42,17.69,all_including_estimated
Airflow + Docker,7,17.68,all_including_estimated
Agile + Azure,32,17.68,all_including_estimated
Java + Power BI,10,17.67,all_including_estimated
ETL + Java,57,17.65,all_including_estimated
C++ + R,7,17.65,all_including_estimated
ETL + GCP,25,17.64,all_including_estimated
GCP + R,6,17.62,all_including_estimated
Databricks + Scala,13,17.62,all_including_estimated
NLP + Statistics,14,17.6,all_including_estimated
Agile + Machine Learning,61,17.58,all_including_estimated
ETL + Snowflake,21,17.57,all_including_estimated
Git + Kafka,8,17.55,all_including_estimated
Communication + Statistics,8,17.54,all_including_estimated
AWS + NLP,10,17.51,all_including_estimated
APIs + Spark,29,17.51,all_including_estimated
ETL + NoSQL,31,17.48,all_including_estimated
NoSQL + NumPy,5,17.47,all_including_estimated
Azure + ETL,96,17.46,all_including_estimated
Agile + Scala,26,17.43,all_including_estimated
Azure + TensorFlow,8,17.42,all_including_estimated
Azure + R,21,17.4,all_including_estimated
R + TensorFlow,10,17.37,all_including_estimated
Azure + SQL,207,17.34,all_including_estimated
Agile + Kafka,8,17.32,all_including_estimated
Java + Machine Learning,94,17.32,all_including_estimated
AWS + Git,26,17.31,all_including_estimated
Azure + Docker,16,17.3,all_including_estimated
NoSQL + TensorFlow,6,17.27,all_including_estimated
Data Modeling + SAS,7,17.27,all_including_estimated
Airflow + Data Modeling,8,17.27,all_including_estimated
ETL + Spark,184,17.26,all_including_estimated
Docker + Kafka,6,17.25,all_including_estimated
Azure + Spark,242,17.24,all_including_estimated
NLP + SQL,19,17.22,all_including_estimated
Data Visualization + Statistics,11,17.21,all_including_estimated
ETL + Kafka,28,17.19,all_including_estimated
Java + Kafka,41,17.18,all_including_estimated
Git + R,8,17.18,all_including_estimated
Agile + NoSQL,41,17.18,all_including_estimated
Databricks + Python,44,17.17,all_including_estimated
Airflow + Azure,13,17.17,all_including_estimated
Kafka + NoSQL,24,17.14,all_including_estimated
Machine Learning + NLP,4,17.12,disclosed_only
Power BI + Scala,7,17.12,all_including_estimated
Databricks + Kafka,8,17.1,all_including_estimated
Docker + SQL,20,17.08,all_including_estimated
NumPy + Spark,8,17.08,all_including_estimated
Data Visualization + ETL,15,17.07,all_including_estimated
GCP + NoSQL,21,17.06,all_including_estimated
Power BI + Spark,49,17.06,all_including_estimated
Machine Learning + NoSQL,58,17.06,all_including_estimated
Java + Scala,121,17.05,all_including_estimated
Git + Java,12,17.05,all_including_estimated
GCP + Python,79,17.04,all_including_estimated
Kafka + Spark,133,17.04,all_including_estimated
Machine Learning + Scala,36,17.02,all_including_estimated
AWS + Databricks,12,17.01,all_including_estimated
NLP + Pandas,6,16.99,all_including_estimated
NLP + Python,67,16.98,all_including_estimated
AWS + Machine Learning,77,16.96,all_including_estimated
C++ + Java,25,16.96,all_including_estimated
AWS + ETL,73,16.96,all_including_estimated
Data Modeling + Python,64,16.94,all_including_estimated
C++ + Data Modeling,5,16.93,all_including_estimated
Azure + Scala,51,16.91,all_including_estimated
NoSQL + Spark,129,16.89,all_including_estimated
Kafka + SQL,96,16.86,all_including_estimated
Airflow + Kafka,17,16.84,all_including_estimated
GCP + Spark,65,16.8,all_including_estimated
Java + Spark,317,16.79,all_including_estimated
Docker + NoSQL,10,16.76,all_including_estimated
NoSQL + SQL,270,16.76,all_including_estimated
Azure + Python,214,16.76,all_including_estimated
Java + R,23,16.74,all_including_estimated
AWS + Spark,309,16.72,all_including_estimated
SAS + Spark,14,16.72,all_including_estimated
Java + Python,349,16.7,all_including_estimated
Python + Spark,667,16.69,all_including_estimated
ETL + Python,158,16.67,all_including_estimated
AWS + Scala,64,16.67,all_including_estimated
C++ + SQL,23,16.63,all_including_estimated
Data Modeling + Spark,78,16.62,all_including_estimated
Scala + Spark,276,16.59,all_including_estimated
AWS + Java,128,16.57,all_including_estimated
Machine Learning + R,120,16.56,all_including_estimated
